Title,Price,Rating,Rating_Numeric,Polarity,Subjectivity,Sentiment
A Light in the Attic,51.77,Three,3,0.4,0.7,Positive
Tipping the Velvet,53.74,One,1,0.0,0.0,Neutral
Soumission,50.1,One,1,0.0,0.0,Neutral
Sharp Objects,47.82,Four,4,-0.125,0.75,Negative
Sapiens: A Brief History of Humankind,54.23,Five,5,0.0,0.3333333333333333,Neutral
The Requiem Red,22.65,One,1,0.0,0.0,Neutral
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,4,-0.39375,0.65,Negative
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,3,-0.5,1.0,Negative
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,4,0.1,0.4,Neutral
The Black Maria,52.15,One,1,-0.16666666666666666,0.43333333333333335,Negative
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,2,0.0,0.0,Neutral
Shakespeare's Sonnets,20.66,Four,4,0.0,0.0,Neutral
Set Me Free,17.46,Five,5,0.4,0.8,Positive
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,5,0.15625,0.75,Positive
Rip it Up and Start Again,35.02,Five,5,0.0,0.0,Neutral
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,3,0.0,0.0,Neutral
Olio,23.88,One,1,0.0,0.0,Neutral
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,1,1.0,0.3,Positive
Libertarianism for Beginners,51.33,Two,2,0.0,0.0,Neutral
It's Only the Himalayas,45.17,Two,2,0.0,1.0,Neutral
In Her Wake,12.84,One,1,0.0,0.0,Neutral
How Music Works,37.32,Two,2,0.0,0.0,Neutral
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,3,0.125,0.45,Positive
Chase Me (Paris Nights #2),25.27,Five,5,0.0,0.0,Neutral
Black Dust,34.53,Five,5,-0.16666666666666666,0.43333333333333335,Negative
